user_id,name,region,signup_date,account_type,email
user_177,User 7572,APAC,2025-11-26,standard,user77@example.com
user_178,User 5386,LATAM,2025-08-15,standard,user78@example.com
user_179,User 2084,LATAM,2025-10-20,standard,user79@example.com
user_180,User 4456,LATAM,2025-07-03,premium,user80@example.com
user_181,User 6155,EU,2025-07-20,free,user81@example.com
user_182,User 4483,EU,2025-09-16,premium,user82@example.com
user_183,User 9179,US-West,2025-11-18,standard,user83@example.com
user_184,User 7482,EU,2026-01-27,premium,user84@example.com
user_185,User 8517,US-West,2025-09-06,standard,user85@example.com
user_186,User 3340,EU,2025-11-21,free,user86@example.com
user_187,User 5339,APAC,2025-12-09,free,user87@example.com
user_188,User 3287,US-West,2026-01-18,standard,user88@example.com
user_189,User 5040,EU,2025-07-15,standard,user89@example.com
user_190,User 9830,APAC,2025-11-05,premium,user90@example.com
user_191,User 5304,EU,2025-10-24,free,user91@example.com
user_192,User 8019,US-East,2025-08-17,standard,user92@example.com
user_193,User 7543,US-East,2025-09-12,free,user93@example.com
user_194,User 6930,APAC,2025-10-19,standard,user94@example.com
user_195,User 4593,LATAM,2025-12-31,premium,user95@example.com
user_196,User 3266,LATAM,2025-06-01,standard,user96@example.com
user_197,User 9348,US-East,2025-08-17,premium,user97@example.com
user_198,User 9085,US-East,2025-08-13,free,user98@example.com
user_199,User 2489,LATAM,2025-07-24,premium,user99@example.com
user_200,User 1771,US-West,2025-09-19,premium,user100@example.com
user_201,User 2796,LATAM,2025-12-19,premium,user101@example.com
user_202,User 3504,EU,2025-10-27,premium,user102@example.com
user_203,User 3621,US-West,2025-11-03,free,user103@example.com
user_204,User 7916,EU,2025-11-15,free,user104@example.com
user_205,User 2040,US-East,2025-08-22,free,user105@example.com
user_206,User 7304,US-West,2025-09-28,premium,user106@example.com
user_207,User 7252,EU,2025-09-22,premium,user107@example.com
user_208,User 8668,EU,2025-09-22,standard,user108@example.com
user_209,User 9669,US-West,2025-11-20,free,user109@example.com
user_210,User 5119,APAC,2025-07-25,standard,user110@example.com
user_211,User 1188,LATAM,2025-10-09,standard,user111@example.com
user_212,User 2876,EU,2025-09-30,free,user112@example.com
user_213,User 9797,LATAM,2025-12-21,free,user113@example.com
user_214,User 5371,LATAM,2026-01-17,premium,user114@example.com
user_215,User 6573,US-East,2026-02-01,premium,user115@example.com
user_216,User 2827,LATAM,2025-12-21,free,user116@example.com
user_217,User 5808,EU,2025-12-06,standard,user117@example.com
user_218,User 8123,US-East,2025-07-14,premium,user118@example.com
user_219,User 3591,US-West,2025-11-16,free,user119@example.com
user_220,User 8433,EU,2025-06-22,free,user120@example.com
user_221,User 1053,US-East,2025-08-12,standard,user121@example.com
user_222,User 5315,US-East,2025-10-10,free,user122@example.com
user_223,User 9201,LATAM,2025-11-17,free,user123@example.com
user_224,User 3927,US-West,2025-11-10,free,user124@example.com
user_225,User 9317,EU,2025-11-06,premium,user125@example.com
user_226,User 2743,EU,2025-08-25,free,user126@example.com
user_227,User 5889,LATAM,2025-06-24,standard,user127@example.com
user_228,User 9317,US-West,2025-12-27,free,user128@example.com
user_229,User 4258,EU,2026-01-30,standard,user129@example.com
user_230,User 3504,US-West,2025-12-10,standard,user130@example.com
user_231,User 7126,EU,2025-07-31,free,user131@example.com
user_232,User 3646,LATAM,2025-11-20,standard,user132@example.com
user_233,User 9837,APAC,2025-08-19,free,user133@example.com
user_234,User 9689,EU,2025-07-28,free,user134@example.com
user_235,User 1009,US-East,2025-12-24,premium,user135@example.com
user_236,User 6310,US-East,2025-07-21,free,user136@example.com
user_237,User 9005,APAC,2025-07-08,free,user137@example.com
user_238,User 1319,EU,2025-06-07,free,user138@example.com
user_239,User 2832,US-East,2025-06-12,free,user139@example.com
user_240,User 6947,US-East,2025-08-02,standard,user140@example.com
user_241,User 6038,EU,2025-09-30,premium,user141@example.com
user_242,User 4923,US-West,2025-11-04,premium,user142@example.com
user_243,User 1949,EU,2026-01-04,standard,user143@example.com
user_244,User 4946,US-West,2025-12-14,premium,user144@example.com
user_245,User 2290,APAC,2025-06-19,free,user145@example.com
user_246,User 2403,LATAM,2025-09-25,premium,user146@example.com
user_247,User 8962,APAC,2025-09-15,premium,user147@example.com
user_248,User 2133,LATAM,2026-01-13,free,user148@example.com
user_249,User 9727,US-East,2025-11-09,standard,user149@example.com
user_250,User 3060,US-East,2025-10-26,free,user150@example.com
user_251,User 3103,US-East,2025-07-20,premium,user151@example.com
user_252,User 8787,US-West,2025-12-01,free,user152@example.com
user_253,User 3705,LATAM,2025-11-26,premium,user153@example.com
user_254,User 5342,US-East,2025-09-07,standard,user154@example.com
user_255,User 9645,EU,2025-10-05,standard,user155@example.com
user_256,User 7932,LATAM,2025-09-11,premium,user156@example.com
user_257,User 4470,LATAM,2025-08-02,free,user157@example.com
user_258,User 9835,US-West,2025-07-08,free,user158@example.com
user_259,User 4295,APAC,2025-11-15,free,user159@example.com
user_260,User 6107,US-West,2025-11-24,premium,user160@example.com
user_261,User 7537,US-East,2025-06-02,free,user161@example.com
user_262,User 7118,EU,2026-01-15,premium,user162@example.com
user_263,User 8177,EU,2025-12-10,free,user163@example.com
user_264,User 9479,US-East,2026-01-07,free,user164@example.com
user_265,User 8397,EU,2025-12-15,free,user165@example.com
user_266,User 2982,US-West,2026-01-13,free,user166@example.com
user_267,User 5061,US-West,2025-06-28,premium,user167@example.com
user_268,User 4681,US-East,2025-12-17,premium,user168@example.com
user_269,User 2049,EU,2025-09-17,free,user169@example.com
user_270,User 6539,LATAM,2025-07-27,standard,user170@example.com
user_271,User 1344,APAC,2025-07-16,premium,user171@example.com
user_272,User 4770,LATAM,2025-12-23,standard,user172@example.com
user_273,User 4608,US-West,2026-02-01,standard,user173@example.com
user_274,User 1117,US-West,2025-11-26,premium,user174@example.com
user_275,User 2163,US-West,2025-10-11,standard,user175@example.com
user_276,User 1964,US-West,2025-09-27,premium,user176@example.com
user_277,User 4750,APAC,2025-06-13,free,user177@example.com
user_278,User 2104,US-East,2025-10-21,premium,user178@example.com
user_279,User 1514,US-West,2025-08-03,free,user179@example.com
user_280,User 6413,EU,2026-01-21,free,user180@example.com
user_281,User 2160,APAC,2026-01-04,free,user181@example.com
user_282,User 9423,US-West,2025-07-02,standard,user182@example.com
user_283,User 4899,EU,2025-09-25,free,user183@example.com
user_284,User 5562,US-West,2025-07-05,premium,user184@example.com
user_285,User 8953,US-East,2025-12-23,standard,user185@example.com
user_286,User 4510,APAC,2025-09-27,premium,user186@example.com
user_287,User 9834,US-East,2025-11-18,standard,user187@example.com
user_288,User 3167,APAC,2025-10-14,free,user188@example.com
user_289,User 8744,US-West,2025-10-22,standard,user189@example.com
user_290,User 4981,US-West,2025-10-31,premium,user190@example.com
user_291,User 8749,APAC,2025-08-21,free,user191@example.com
user_292,User 7669,EU,2026-01-30,premium,user192@example.com
user_293,User 4119,EU,2025-12-11,premium,user193@example.com
user_294,User 2545,US-West,2026-01-15,free,user194@example.com
user_295,User 2588,US-West,2025-09-22,free,user195@example.com
user_296,User 8062,US-East,2025-11-04,standard,user196@example.com
user_297,User 6804,US-West,2025-12-26,standard,user197@example.com
user_298,User 7939,APAC,2025-12-02,standard,user198@example.com
user_299,User 7735,EU,2026-01-15,free,user199@example.com
